Sat Mar 26 17:14:11 2022    code_analysis/output.dat

         148516617 function calls (148402911 primitive calls) in 763.523 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
45254004/45253418    3.247    0.000    3.248    0.000 {built-in method builtins.len}
 35233923    3.075    0.000    3.075    0.000 {method 'append' of 'list' objects}
 11826441   15.132    0.000   15.132    0.000 {built-in method numpy.zeros}
  8419909    1.810    0.000    1.810    0.000 {built-in method builtins.min}
  6442033    4.079    0.000    4.079    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
  5458650    1.376    0.000   13.129    0.000 C:\Users\Adam\anaconda3\lib\site-packages\numpy\core\_methods.py:45(_sum)
  5458650    2.219    0.000   15.348    0.000 {method 'sum' of 'numpy.ndarray' objects}
  5458650   11.753    0.000   11.753    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  3297185    0.392    0.000    0.392    0.000 {method 'items' of 'dict' objects}
  2285364  148.559    0.000  160.160    0.000 D:\Documents\Coding\Chess\generate_moves.py:464(king_hv_diag_loop)
  1978618   19.887    0.000   19.887    0.000 D:\Documents\Coding\Chess\generate_moves.py:123(range_loop)
  1171285    0.150    0.000    0.150    0.000 {built-in method builtins.abs}
  1142682    4.502    0.000    5.710    0.000 D:\Documents\Coding\Chess\generate_moves.py:429(knight_attacks)
  1142682   11.869    0.000   11.869    0.000 D:\Documents\Coding\Chess\generate_moves.py:533(pawn_attacks)
  1142682   17.200    0.000  201.035    0.000 D:\Documents\Coding\Chess\generate_moves.py:399(king_analysis)
  1106380    5.968    0.000    5.984    0.000 D:\Documents\Coding\Chess\generate_moves.py:210(get_captures)
   859735    5.094    0.000   26.796    0.000 D:\Documents\Coding\Chess\generate_moves.py:111(sliding)
   859529    6.702    0.000    7.994    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:9(move_rays)
   655038    2.082    0.000   11.350    0.000 D:\Documents\Coding\Chess\evaluation\rays.py:118(slide_move)
   549089    0.433    0.000    0.433    0.000 {method 'intersection' of 'set' objects}
   481244    0.136    0.000    0.136    0.000 {built-in method builtins.any}
   443800    4.966    0.000    4.966    0.000 {built-in method builtins.sum}
   310108    0.302    0.000    0.302    0.000 D:\Documents\Coding\Chess\generate_moves.py:439(<listcomp>)
   269560    0.248    0.000    0.248    0.000 D:\Documents\Coding\Chess\generate_moves.py:435(<listcomp>)
   266015    0.250    0.000    0.250    0.000 D:\Documents\Coding\Chess\generate_moves.py:441(<listcomp>)
   221900    1.769    0.000  271.973    0.001 D:\Documents\Coding\Chess\Chess_engine.py:135(gen_moves)
   221832    0.030    0.000    0.030    0.000 {method 'keys' of 'dict' objects}
   218833    0.424    0.000    0.424    0.000 {built-in method numpy.array}
